run_id,group,walk_length,num_walks,window,p,q,male_icd_mean_drift,male_icd_mean_stab,male_icd_mean_auc,male_blk_mean_drift,male_blk_mean_stab,male_blk_mean_auc,fem_icd_mean_drift,fem_icd_mean_stab,fem_icd_mean_auc,fem_blk_mean_drift,fem_blk_mean_stab,fem_blk_mean_auc,male_icd_ni_drift,male_icd_ni_stab,male_blk_ni_drift,male_blk_ni_stab,fem_icd_ni_drift,fem_icd_ni_stab,fem_blk_ni_drift,fem_blk_ni_stab,runtime_s
1,baseline,80,10,10,1.0,1.0,0.739217,0.075109,0.608381,0.992704,0.309956,0.658043,0.742957,0.071690,0.599368,0.959525,0.315202,0.643197,2.174701,0.431993,1.161670,0.469729,2.292549,0.451877,1.117868,0.457666,555
2,walk_strategy,80,10,8,1.0,1.0,0.751545,0.074549,0.598965,1.005910,0.314539,0.648599,0.750624,0.071823,0.580156,0.978282,0.320907,0.622635,2.188356,0.441612,1.173620,0.475755,2.293008,0.454299,1.139585,0.466696,524
3,walk_strategy,80,10,12,1.0,1.0,0.733041,0.075255,0.629948,0.976840,0.309056,0.658882,0.736680,0.072535,0.600720,0.940400,0.310561,0.629547,2.174377,0.432900,1.146066,0.463554,2.287452,0.453161,1.100501,0.454294,541
4,walk_strategy,80,10,8,0.5,2.0,0.784565,0.071487,0.581311,1.138804,0.320608,0.636942,0.794893,0.071367,0.570905,1.140239,0.312430,0.625272,2.272391,0.417642,1.333455,0.480859,2.487788,0.442422,1.343359,0.456236,496
5,walk_strategy,80,10,12,0.5,2.0,0.785821,0.071629,0.617952,1.113194,0.312094,0.643798,0.786982,0.071476,0.615322,1.111171,0.307413,0.641013,2.370961,0.413667,1.308828,0.465169,2.467853,0.440254,1.315500,0.450111,522
6,walk_strategy,80,10,8,2.0,0.5,0.729516,0.073777,0.598733,0.960064,0.314039,0.646099,0.727888,0.072647,0.589178,0.907175,0.310456,0.634654,2.143297,0.432420,1.123039,0.471385,2.241712,0.459291,1.059985,0.453705,504
7,walk_strategy,80,10,12,2.0,0.5,0.709058,0.074443,0.631684,0.926089,0.305359,0.639058,0.711857,0.073087,0.603181,0.863241,0.302455,0.644129,2.110286,0.441501,1.096066,0.460736,2.206854,0.462293,1.010677,0.442268,529
8,walk_coverage,60,10,10,1.0,1.0,0.740237,0.072828,0.616420,0.980150,0.314791,0.662153,0.746621,0.071973,0.588489,0.950382,0.311792,0.635858,2.158250,0.428841,1.152035,0.469217,2.287705,0.454143,1.107128,0.456104,453
9,walk_coverage,80,10,10,1.0,1.0,0.740409,0.074864,0.618477,0.987636,0.312690,0.631388,0.745175,0.072699,0.599842,0.959354,0.316420,0.659238,2.180068,0.435242,1.157205,0.468211,2.313034,0.456091,1.119428,0.459746,508
10,walk_coverage,120,10,10,1.0,1.0,0.737774,0.074900,0.619098,1.023508,0.319967,0.656763,0.741994,0.075121,0.607342,0.963730,0.316498,0.646389,2.205509,0.444192,1.232880,0.469484,2.286261,0.468459,1.135785,0.459746,620
11,walk_coverage,80,20,10,1.0,1.0,0.736037,0.079966,0.616501,1.015148,0.323093,0.654369,0.738862,0.077373,0.628235,0.974279,0.320409,0.655186,2.193700,0.451919,1.197623,0.475414,2.328702,0.470725,1.150161,0.465328,738
12,walk_coverage,120,20,10,1.0,1.0,0.730159,0.080152,0.656334,0.994935,0.333456,0.670555,0.729279,0.079459,0.628491,0.944245,0.335182,0.663111,2.196509,0.465486,1.178047,0.494391,2.291089,0.478430,1.117304,0.483159,979
13,walk_coverage,60,20,10,1.0,1.0,0.739210,0.077704,0.631388,1.011811,0.323265,0.663744,0.746032,0.076095,0.611097,0.977884,0.321849,0.646342,2.184042,0.450006,1.185214,0.486226,2.293638,0.471027,1.150794,0.466738,625
14,combined,120,20,10,0.5,2.0,0.782150,0.078124,0.629731,1.134815,0.329966,0.664812,0.781087,0.077878,0.608827,1.098013,0.334157,0.665707,2.369134,0.439252,1.343221,0.487442,2.481040,0.462818,1.305913,0.476636,986
15,combined,120,20,10,2.0,0.5,0.706397,0.080374,0.655972,0.954936,0.321753,0.665373,0.701064,0.077805,0.644643,0.876084,0.331796,0.669818,2.150378,0.458476,1.140193,0.475832,2.211435,0.476284,1.043487,0.472655,1006
16,combined,120,20,8,0.5,2.0,0.797171,0.076398,0.617619,1.165557,0.333328,0.644130,0.796600,0.077217,0.600624,1.130598,0.334327,0.651425,2.415093,0.434125,1.377724,0.489664,2.523775,0.466224,1.338813,0.480166,941
17,combined,120,20,12,0.5,2.0,0.771894,0.078224,0.636615,1.123912,0.323807,0.670750,0.772537,0.078102,0.629660,1.067172,0.333203,0.670128,2.337735,0.444282,1.353390,0.471307,2.462159,0.468498,1.268898,0.479222,1009
18,combined,120,20,8,2.0,0.5,0.727058,0.079301,0.646373,0.982750,0.322112,0.651690,0.719542,0.078147,0.623712,0.916962,0.332128,0.668391,2.197936,0.458693,1.171891,0.474034,2.259532,0.478703,1.096371,0.478173,965
19,combined,120,20,12,2.0,0.5,0.691414,0.081310,0.652011,0.930247,0.313978,0.677395,0.686329,0.078879,0.651988,0.846287,0.328081,0.667011,2.121885,0.463059,1.127191,0.459645,2.180401,0.477744,1.007972,0.466753,1052
